time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
294s,0,0,0,0,0,0,0,1
295s,0,0,0,0,0,0,0,1
296s,1,0,0,0,0,0,0,0
297s,0,0,0,0,0,0,0,1
298s,1,0,0,0,0,0,0,0
299s,0,1,0,0,0,0,0,0
300s,0,1,0,0,0,0,0,0
301s,0,1,0,0,0,0,0,0
302s,0,1,0,0,0,0,0,0
303s,0,1,0,0,0,0,0,0
304s,0,1,0,0,0,0,0,0
305s,0,1,0,0,0,0,0,0
306s,0,1,0,0,0,0,0,0
307s,0,1,0,0,0,0,0,0
308s,0,1,0,0,0,0,0,0
309s,0,1,0,0,0,0,0,0
310s,0,0,0,0,0,0,0,1
311s,0,0,0,0,0,1,0,0
312s,0,0,0,0,0,1,0,0
313s,0,0,0,0,0,1,0,0
314s,0,0,0,0,0,1,0,0
315s,0,0,0,0,0,1,0,0
316s,0,0,0,0,0,1,0,0
317s,0,0,0,0,0,1,0,0
318s,0,0,0,0,0,1,0,0
319s,1,0,0,0,0,0,0,0
320s,1,0,0,0,0,0,0,0
321s,0,0,0,0,0,0,0,1
322s,0,0,0,0,0,0,0,1
323s,1,0,0,0,0,0,0,0
324s,0,0,0,0,0,1,0,0
325s,0,0,0,0,0,1,0,0
326s,0,0,0,0,0,1,0,0
327s,0,0,0,0,0,0,0,1
328s,1,0,0,0,0,0,0,0
