time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
178s,0,0,0,0,0,0,0,1
179s,0,0,0,0,0,0,0,1
180s,0,0,0,0,0,0,0,1
181s,1,0,0,0,0,0,0,0
182s,0,0,0,0,0,0,0,1
183s,0,1,0,0,0,0,0,0
184s,0,1,0,0,0,0,0,0
185s,0,1,0,0,0,0,0,0
186s,0,1,0,0,0,0,0,0
187s,0,0,0,0,0,0,0,1
188s,0,0,0,0,0,0,0,1
189s,0,1,0,0,0,0,0,0
190s,0,1,0,0,0,0,0,0
191s,0,1,0,0,0,0,0,0
192s,0,1,0,0,0,0,0,0
193s,0,0,0,0,0,0,0,1
194s,0,1,0,0,0,0,0,0
195s,0,1,0,0,0,0,0,0
196s,0,1,0,0,0,0,0,0
197s,0,1,0,0,0,0,0,0
198s,0,1,0,0,0,0,0,0
199s,0,1,0,0,0,0,0,0
200s,0,1,0,0,0,0,0,0
201s,0,1,0,0,0,0,0,0
202s,0,1,0,0,0,0,0,0
203s,0,1,0,0,0,0,0,0
204s,0,1,0,0,0,0,0,0
205s,0,1,0,0,0,0,0,0
206s,0,1,0,0,0,0,0,0
207s,0,1,0,0,0,0,0,0
208s,0,1,0,0,0,0,0,0
209s,0,1,0,0,0,0,0,0
210s,0,1,0,0,0,0,0,0
211s,0,0,0,0,0,0,1,0
212s,0,1,0,0,0,0,0,0
213s,0,1,0,0,0,0,0,0
214s,0,1,0,0,0,0,0,0
215s,0,1,0,0,0,0,0,0
216s,0,1,0,0,0,0,0,0
217s,0,0,0,0,0,0,0,1
218s,0,0,0,0,0,0,0,1
219s,0,0,0,0,0,0,0,1
220s,0,0,0,0,0,0,0,1
221s,0,0,0,0,0,0,0,1
222s,0,0,0,0,0,0,0,1
223s,0,0,0,0,0,0,0,1
224s,0,0,0,0,0,0,0,1
225s,0,0,0,0,0,0,0,1
226s,0,0,0,0,0,0,0,1
227s,0,0,0,0,0,0,0,1
228s,0,0,0,0,0,0,0,1
229s,0,0,0,0,0,1,0,0
230s,0,0,0,0,0,0,0,1
231s,0,1,0,0,0,0,0,0
232s,0,1,0,0,0,0,0,0
233s,0,0,0,0,0,0,0,1
234s,0,0,0,0,0,0,0,1
235s,0,0,0,0,0,0,0,1
236s,0,0,0,0,0,0,0,1
237s,0,0,0,0,0,0,0,1
238s,0,0,0,0,0,0,0,1
239s,0,1,0,0,0,0,0,0
240s,0,1,0,0,0,0,0,0
241s,0,1,0,0,0,0,0,0
242s,0,1,0,0,0,0,0,0
243s,0,1,0,0,0,0,0,0
244s,0,1,0,0,0,0,0,0
245s,0,0,0,0,0,0,0,1
246s,0,0,0,0,0,0,0,1
247s,0,0,0,0,0,0,0,1
248s,0,1,0,0,0,0,0,0
249s,0,0,0,0,0,0,0,1
250s,0,0,0,0,0,1,0,0
251s,0,0,0,0,0,0,0,1
252s,0,0,0,0,0,0,0,1
253s,1,0,0,0,0,0,0,0
254s,0,0,0,0,0,0,0,1
255s,0,0,0,0,0,1,0,0
256s,0,0,0,0,0,0,0,1
257s,0,0,0,0,0,0,0,1
258s,0,0,0,0,0,0,0,1
259s,0,0,0,0,0,0,0,1
260s,0,0,0,0,0,0,0,1
261s,0,0,0,0,0,0,0,1
262s,0,0,0,0,0,0,0,1
263s,0,0,0,0,0,0,0,1
264s,0,1,0,0,0,0,0,0
265s,0,1,0,0,0,0,0,0
266s,0,0,0,0,0,0,0,1
267s,0,0,0,0,0,0,1,0
279s,0,0,0,0,0,0,0,1
280s,0,0,0,0,0,0,1,0
281s,0,0,0,0,0,0,1,0
282s,0,0,0,0,0,0,1,0
283s,0,0,0,0,0,0,0,1
284s,0,0,0,0,0,0,0,1
285s,0,0,0,0,0,0,0,1
286s,0,0,0,0,0,1,0,0
287s,0,0,0,0,0,1,0,0
288s,0,0,0,0,0,1,0,0
289s,0,0,0,0,0,1,0,0
290s,0,0,0,0,0,1,0,0
291s,0,0,0,0,0,1,0,0
292s,1,0,0,0,0,0,0,0
293s,1,0,0,0,0,0,0,0
294s,1,0,0,0,0,0,0,0
295s,0,0,0,0,0,0,0,1
296s,0,0,0,0,0,1,0,0
297s,0,0,0,0,0,1,0,0
298s,0,0,0,0,0,1,0,0
299s,0,0,0,0,0,1,0,0
300s,1,0,0,0,0,0,0,0
301s,1,0,0,0,0,0,0,0
302s,0,0,0,0,0,0,0,1
303s,1,0,0,0,0,0,0,0
304s,1,0,0,0,0,0,0,0
305s,0,0,0,0,0,0,0,1
306s,0,1,0,0,0,0,0,0
307s,0,0,0,0,0,0,0,1
308s,0,1,0,0,0,0,0,0
309s,0,1,0,0,0,0,0,0
310s,0,1,0,0,0,0,0,0
311s,0,1,0,0,0,0,0,0
312s,0,0,0,0,0,0,0,1
313s,0,1,0,0,0,0,0,0
314s,0,1,0,0,0,0,0,0
315s,0,1,0,0,0,0,0,0
316s,0,0,0,0,0,0,0,1
317s,0,0,0,0,0,0,1,0
318s,0,1,0,0,0,0,0,0
319s,0,0,0,0,0,0,0,1
320s,0,0,0,0,0,0,1,0
321s,0,0,0,0,0,0,0,1
322s,0,0,0,0,0,1,0,0
323s,0,0,0,0,0,0,0,1
324s,0,0,0,0,0,0,0,1
325s,1,0,0,0,0,0,0,0
326s,0,1,0,0,0,0,0,0
327s,0,0,0,0,0,1,0,0
328s,0,0,0,0,0,0,0,1
329s,0,0,0,0,0,1,0,0
330s,0,1,0,0,0,0,0,0
331s,0,1,0,0,0,0,0,0
332s,0,0,0,0,0,0,0,1
333s,0,0,0,0,0,0,0,1
334s,0,0,0,0,0,0,0,1
335s,0,0,0,0,0,0,0,1
336s,0,1,0,0,0,0,0,0
337s,0,1,0,0,0,0,0,0
338s,0,0,0,0,0,0,0,1
339s,0,0,0,0,0,0,1,0
340s,0,0,0,0,0,0,0,1
341s,0,1,0,0,0,0,0,0
342s,0,0,0,0,0,0,1,0
353s,0,0,0,0,0,0,0,1
354s,0,0,0,0,0,0,0,1
355s,0,0,0,0,0,0,0,1
356s,0,0,0,0,0,0,0,1
357s,0,0,0,0,0,0,0,1
358s,1,0,0,0,0,0,0,0
359s,0,1,0,0,0,0,0,0
360s,0,1,0,0,0,0,0,0
361s,1,0,0,0,0,0,0,0
362s,1,0,0,0,0,0,0,0
363s,0,0,0,0,0,0,0,1
364s,0,0,0,0,0,0,0,1
365s,0,0,0,0,0,0,0,1
366s,0,0,0,0,0,0,0,1
367s,0,0,0,0,0,1,0,0
368s,0,0,0,0,0,1,0,0
369s,0,0,0,0,0,1,0,0
370s,0,0,0,0,0,0,0,1
371s,0,0,0,0,0,0,0,1
372s,0,1,0,0,0,0,0,0
373s,0,1,0,0,0,0,0,0
374s,0,0,0,0,0,0,0,1
375s,0,0,0,0,0,0,0,1
376s,0,0,0,0,0,0,0,1
377s,0,1,0,0,0,0,0,0
378s,0,1,0,0,0,0,0,0
379s,0,0,0,0,0,0,0,1
380s,0,0,0,0,0,0,0,1
381s,0,1,0,0,0,0,0,0
382s,0,0,0,0,0,0,0,1
383s,0,1,0,0,0,0,0,0
396s,0,0,0,0,0,1,0,0
397s,0,0,0,0,0,1,0,0
407s,0,0,0,0,0,0,1,0
408s,0,0,0,1,0,0,0,0
409s,0,0,0,0,0,0,0,1
410s,0,1,0,0,0,0,0,0
411s,0,1,0,0,0,0,0,0
412s,0,1,0,0,0,0,0,0
423s,0,1,0,0,0,0,0,0
424s,0,1,0,0,0,0,0,0
425s,0,0,0,0,0,0,0,1
426s,0,0,0,0,0,0,0,1
427s,0,0,0,0,0,0,0,1
428s,0,0,0,0,0,0,0,1
429s,0,1,0,0,0,0,0,0
430s,0,0,0,0,0,0,0,1
431s,0,1,0,0,0,0,0,0
432s,0,1,0,0,0,0,0,0
433s,0,1,0,0,0,0,0,0
434s,0,1,0,0,0,0,0,0
435s,0,1,0,0,0,0,0,0
436s,0,1,0,0,0,0,0,0
437s,0,1,0,0,0,0,0,0
438s,0,1,0,0,0,0,0,0
439s,0,1,0,0,0,0,0,0
440s,0,1,0,0,0,0,0,0
441s,0,1,0,0,0,0,0,0
442s,0,1,0,0,0,0,0,0
443s,1,0,0,0,0,0,0,0
444s,1,0,0,0,0,0,0,0
445s,1,0,0,0,0,0,0,0
446s,0,0,0,0,0,0,0,1
447s,1,0,0,0,0,0,0,0
448s,1,0,0,0,0,0,0,0
449s,0,0,0,0,0,0,0,1
450s,0,1,0,0,0,0,0,0
451s,0,1,0,0,0,0,0,0
452s,0,0,0,0,0,0,0,1
453s,0,0,0,0,0,0,0,1
454s,0,0,0,0,0,0,0,1
455s,0,0,0,0,0,0,0,1
456s,0,0,0,0,0,0,0,1
457s,0,0,0,0,0,0,0,1
458s,0,0,0,0,0,0,0,1
459s,0,0,0,0,0,0,0,1
460s,0,0,0,0,0,0,0,1
461s,0,0,0,0,0,0,0,1
462s,0,0,0,0,0,0,0,1
463s,0,0,0,0,0,0,0,1
464s,0,0,0,0,0,0,0,1
465s,0,0,0,0,0,0,0,1
466s,0,0,1,0,0,0,0,0
467s,0,0,0,0,0,0,0,1
468s,0,0,0,0,0,0,0,1
469s,0,0,0,0,0,0,0,1
470s,0,1,0,0,0,0,0,0
471s,0,0,0,0,0,0,0,1
472s,0,0,0,0,0,0,0,1
473s,0,0,0,0,0,0,0,1
474s,1,0,0,0,0,0,0,0
475s,1,0,0,0,0,0,0,0
476s,1,0,0,0,0,0,0,0
477s,0,0,0,0,0,0,0,1
478s,0,0,0,0,0,1,0,0
479s,0,0,0,0,0,1,0,0
480s,0,0,0,0,0,1,0,0
